"prod1AAM","prod2AAM","react1AAM","react2AAM","ea","category"
35,"35661676711",35,"35661676711",29,2
35,"3566167161116111",35,"3566167161116111",33,3
35,"3566116761116111",35,"3566116761116111",38,3
35,"356611161111",35,"356611161111",24,2
35,"356611116111",35,"356611116111",18,2
35,"35661178861116111",35,"35661178861116111",39,3
35,"35661171111",35,"35661171111",28,2
35,"35661788111",35,"35661788111",24,2
35,"3566178878811",35,"3566178878811",27,2
35,"35661711111",35,"35661711111",25,2
35,"3566171171111",35,"3566171171111",34,3
17,"35661676711",35,"17661676711",33,3
17,"356616111611111",35,"176616111611111",30,2
35,"661161116111",35,"176616111611111",41,3
17,"35661611116767",35,"17661611116767",20,2
17,"356616111161116111",35,"176616111161116111",37,3
17,"3566116711",35,"1766116711",27,2
17,"35661161116767",35,"17661161116767",19,2
17,"35661116767",35,"17661116767",19,2
17,"3566111676111",35,"1766111676111",29,2
17,"3566111611167",35,"1766111611167",29,2
35,"6661116711",35,"1766111611167",33,3
35,"66611178811",35,"17661116111788",34,3
35,"661111",35,"176611111",39,3
17,"35661117886111",35,"17661117886111",31,3
17,"35661178861116111",35,"17661178861116111",42,3
17,"3566117116767",35,"1766117116767",24,2
35,"66111711",35,"17661171111",41,3
17,"35661788111",35,"17661788111",28,2
17,"3566178878811",35,"1766178878811",31,3
35,"6667677111",35,"1766171116767",27,2
35,"66117111",35,"17661711111",39,3
35,"666767711711",35,"176617117116767",23,2
17,"3566171171111",35,"1766171171111",40,3
35,"6611711711",35,"1766171171111",34,3
9,"3566167111",35,"966167111",45,3
9,"356616111611161116111",35,"96616111611161116111",56,4
9,"356616111611111",35,"96616111611111",47,4
9,"356616111161116111",35,"96616111161116111",53,4
9,"3566111611167",35,"966111611167",43,3
9,"35661178861116111",35,"9661178861116111",54,4
9,"35661171161116111",35,"9661171161116111",55,4
35,"66111711",35,"9661171111",60,4
9,"35661711161116111",35,"9661711161116111",53,4
9,"3566171171161116111",35,"966171171161116111",60,4
9,"3566171171111",35,"966171171111",54,4
35,"6611711711",35,"966171171111",45,3
35,"17661676761116111",17,"35661676761116111",36,3
35,"9661676761116111",9,"35661676761116111",27,2
35,"17661676711",17,"35661676711",21,2
35,"9661676711",9,"35661676711",3,1
35,"96616767711711",9,"356616767711711",27,2
35,"666767671",17,"356616716767",12,1
35,"6661116111671",17,"3566167161116111",27,2
35,"1766167161116111",17,"3566167161116111",27,2
35,"966167161116111",9,"3566167161116111",16,2
35,"166167161116111",1,"3566167161116111",16,2
35,"66711711671",1,"35661671711711",3,1
35,"66676761116111",17,"35661611161116767",17,2
35,"66676761116111",9,"35661611161116767",6,1
35,"666111611161116111",17,"356616111611161116111",26,2
35,"666111611161116111",9,"356616111611161116111",6,1
35,"96616111611161116111",9,"356616111611161116111",19,2
35,"666111611161116111",1,"356616111611161116111",4,1
35,"16616111611161116111",1,"356616111611161116111",21,2
35,"17661611116767",17,"35661611116767",13,1
35,"66676761111",9,"35661611116767",5,1
35,"666111611161111",17,"356616111161116111",24,2
35,"176616111161116111",17,"356616111161116111",28,2
35,"96616111161116111",9,"356616111161116111",15,1
35,"16616111161116111",1,"356616111161116111",16,2
35,"6661116111167",17,"3566116761116111",26,2
35,"966116761116111",9,"3566116761116111",21,2
35,"166116761116111",1,"3566116761116111",20,2
35,"66711711167",9,"35661167711711",11,1
35,"66711711167",1,"35661167711711",8,1
35,"66676716111",17,"35661161116767",19,2
35,"17661161116767",17,"35661161116767",15,1
35,"666111611116111",17,"356611611161116111",23,2
35,"176611611161116111",17,"356611611161116111",31,3
35,"96611611161116111",9,"356611611161116111",17,2
35,"661116111",17,"356611611111",38,3
35,"661116111",9,"356611611111",19,2
35,"661116111",1,"356611611111",14,1
35,"666111111",17,"356611161111",35,3
35,"176611161111",17,"356611161111",21,2
35,"666111111",9,"356611161111",11,1
35,"666111111",1,"356611161111",10,1
35,"16611161111",1,"356611161111",6,1
35,"176611116111",17,"356611116111",16,2
35,"661611111",9,"356611116111",15,1
35,"661611111",1,"356611116111",13,1
35,"661111",17,"356611111",34,3
35,"661111",9,"356611111",9,1
35,"661111",1,"356611111",8,1
35,"66788611111",17,"35661117886111",31,3
35,"66788611111",9,"35661117886111",8,1
35,"9661117886111",9,"35661117886111",6,1
35,"66788611111",1,"35661117886111",6,1
35,"17661178861116111",17,"35661178861116111",36,3
35,"6667671711",17,"3566117116767",23,2
35,"1766117116767",17,"3566117116767",21,2
35,"6667671711",9,"3566117116767",5,1
35,"6667671711",1,"3566117116767",2,1
35,"166117116767",1,"3566117116767",25,2
35,"66111711",17,"35661171111",41,3
35,"66111711",9,"35661171111",24,2
35,"66111711",1,"35661171111",17,2
35,"1661171111",1,"35661171111",9,1
35,"667887881711",9,"356611711788788",12,1
35,"667887881711",1,"356611711788788",6,1
35,"17661788111",17,"35661788111",19,2
35,"9661788111",9,"35661788111",10,1
35,"667117117881",9,"356617881711711",0,1
35,"1766178878811",17,"3566178878811",24,2
35,"966178878811",9,"3566178878811",2,1
35,"6667677111",17,"3566171116767",23,2
35,"1766171116767",17,"3566171116767",20,2
35,"6667677111",9,"3566171116767",5,1
35,"6667677111",1,"3566171116767",2,1
35,"66611161117111",17,"35661711161116111",30,2
35,"9661711161116111",9,"35661711161116111",18,2
35,"66611161117111",1,"35661711161116111",9,1
35,"1661711161116111",1,"35661711161116111",17,2
35,"66117111",17,"35661711111",38,3
35,"66117111",9,"35661711111",13,1
35,"66117111",1,"35661711111",13,1
35,"1661711111",1,"35661711111",5,1
35,"667887887111",17,"356617111788788",30,2
35,"667887887111",9,"356617111788788",6,1
35,"667887887111",1,"356617111788788",4,1
35,"666767711711",17,"356617117116767",24,2
35,"666767711711",9,"356617117116767",8,1
35,"6661116111711711",9,"3566171171161116111",8,1
35,"966171171161116111",9,"3566171171161116111",25,2
35,"6661116111711711",1,"3566171171161116111",7,1
35,"166171171161116111",1,"3566171171161116111",28,2
35,"6611711711",17,"3566171171111",35,3
35,"1766171171111",17,"3566171171111",32,3
35,"6611711711",9,"3566171171111",18,2
35,"966171171111",9,"3566171171111",27,2
35,"166171171111",1,"3566171171111",18,2
35,"66788788711711",1,"35661711711788788",3,1
17,"17661676761116111",17,"17661676761116111",39,3
17,"17661676711",17,"17661676711",25,2
17,"666767671",17,"176616716767",19,2
17,"176616716767",17,"176616716767",12,1
17,"17661611161116767",17,"17661611161116767",17,2
17,"661161116111",17,"176616111611111",40,3
17,"176616111611111",17,"176616111611111",25,2
17,"17661611116767",17,"17661611116767",16,2
17,"666111611161111",17,"176616111161116111",37,3
17,"176611676767",17,"176611676767",18,2
17,"6611167",17,"1766116711",36,3
17,"66676716111",17,"17661161116767",25,2
17,"666111611116111",17,"176611611161116111",36,3
17,"176611611161116111",17,"176611611161116111",34,3
17,"66676711",17,"17661116767",26,2
17,"17661116767",17,"17661116767",15,1
17,"6667611111",17,"1766111676111",37,3
17,"1766111676111",17,"1766111676111",22,2
17,"6661116711",17,"1766111611167",37,3
17,"666111611111",17,"176611161116111",34,3
17,"176611161116111",17,"176611161116111",32,3
17,"66611178811",17,"17661116111788",38,3
17,"17661116111788",17,"17661116111788",28,2
17,"661611111",17,"176611116111",44,3
17,"661111",17,"176611111",39,3
17,"17661117886111",17,"17661117886111",25,2
17,"1766117886767",17,"1766117886767",19,2
17,"6667671711",17,"1766117116767",30,2
17,"1766117116767",17,"1766117116767",21,2
17,"66611161111711",17,"17661171161116111",34,3
17,"17661171161116111",17,"17661171161116111",38,3
17,"66111711",17,"17661171111",46,4
17,"1766178816767",17,"1766178816767",17,2
17,"17661788161116111",17,"17661788161116111",36,3
17,"66117881",17,"17661788111",29,2
17,"17661788111",17,"17661788111",22,2
17,"1766178878811",17,"1766178878811",27,2
17,"6667677111",17,"1766171116767",31,3
17,"1766171116767",17,"1766171116767",19,2
17,"66611161117111",17,"17661711161116111",39,3
17,"66117111",17,"17661711111",43,3
17,"666767711711",17,"176617117116767",32,3
17,"176617117116767",17,"176617117116767",30,2
17,"6661116111711711",17,"1766171171161116111",31,3
17,"6611711711",17,"1766171171111",43,3
17,"1766171171111",17,"1766171171111",36,3
9,"176616767711711",17,"96616767711711",57,4
9,"17661611161116767",17,"9661611161116767",28,2
9,"176616111611161116111",17,"96616111611161116111",49,4
9,"176616111611111",17,"96616111611111",38,3
9,"17661611116767",17,"9661611116767",30,2
9,"176616111161116111",17,"96616111161116111",49,4
9,"176616111111",17,"96616111111",42,3
9,"1766116761116111",17,"966116761116111",50,4
9,"17661161116767",17,"9661161116767",28,2
9,"1766111676111",17,"966111676111",37,3
9,"1766111611167",17,"966111611167",41,3
9,"17661116111788",17,"9661116111788",39,3
9,"1766117886767",17,"966117886767",30,2
9,"17661178811",17,"9661178811",43,3
9,"1766117116767",17,"966117116767",32,3
9,"17661171161116111",17,"9661171161116111",54,4
9,"17661171111",17,"9661171111",47,4
9,"17661788161116111",17,"9661788161116111",48,4
9,"17661711161116111",17,"9661711161116111",49,4
9,"1766171171161116111",17,"966171171161116111",56,4
17,"9661676761116111",9,"17661676761116111",31,3
17,"9661676711",9,"17661676711",7,1
17,"96616767711711",9,"176616767711711",32,3
17,"16616767711711",1,"176616767711711",28,2
17,"96616716767",9,"176616716767",4,1
17,"966167111",9,"1766167111",8,1
17,"6611671",1,"1766167111",6,1
17,"166167111",1,"1766167111",2,1
17,"66711711671",1,"17661671711711",1,1
17,"1661671711711",1,"17661671711711",23,2
17,"66676761116111",9,"17661611161116767",8,1
17,"9661611161116767",9,"17661611161116767",7,1
17,"96616111611161116111",9,"176616111611161116111",25,2
17,"666111611161116111",1,"176616111611161116111",8,1
17,"661161116111",9,"176616111611111",16,2
17,"96616111611111",9,"176616111611111",13,1
17,"661161116111",1,"176616111611111",11,1
17,"66676761111",9,"17661611116767",6,1
17,"66676761111",1,"17661611116767",6,1
17,"666111611161111",9,"176616111161116111",13,1
17,"96616111161116111",9,"176616111161116111",19,2
17,"666111611161111",1,"176616111161116111",9,1
17,"6678878861111",1,"1766161111788788",8,1
17,"96611676767",9,"176611676767",7,1
17,"16611676767",1,"176611676767",18,2
17,"966116711",9,"1766116711",11,1
17,"166116711",1,"1766116711",5,1
17,"66711711167",1,"17661167711711",3,1
17,"66676716111",9,"17661161116767",4,1
17,"666111611116111",9,"176611611161116111",10,1
17,"96611611161116111",9,"176611611161116111",20,2
17,"666111611116111",1,"176611611161116111",9,1
17,"66676711",9,"17661116767",1,1
17,"9661116767",9,"17661116767",2,1
17,"6667611111",9,"1766111676111",9,1
17,"966111676111",9,"1766111676111",7,1
17,"6667611111",1,"1766111676111",8,1
17,"6661116711",9,"1766111611167",7,1
17,"666111611111",9,"176611161116111",1,1
17,"96611161116111",9,"176611161116111",18,2
17,"666111611111",1,"176611161116111",4,1
17,"96611161111",9,"176611161111",11,1
17,"16611161111",1,"176611161111",9,1
17,"66611178811",9,"17661116111788",9,1
17,"9661116111788",9,"17661116111788",9,1
17,"66611178811",1,"17661116111788",8,1
17,"1661116111788",1,"17661116111788",0,1
17,"1661116111711",1,"17661116111711",22,2
17,"661611111",1,"176611116111",15,1
17,"661111",9,"176611111",7,1
17,"661111",1,"176611111",9,1
17,"66788611111",9,"17661117886111",8,1
17,"9661117886111",9,"17661117886111",6,1
17,"66788611111",1,"17661117886111",8,1
17,"66711611111",9,"17661117116111",15,1
17,"6667671711",9,"1766117116767",5,1
17,"966117116767",9,"1766117116767",11,1
17,"66611161111711",9,"17661171161116111",8,1
17,"9661171161116111",9,"17661171161116111",27,2
17,"1661171161116111",1,"17661171161116111",25,2
17,"66111711",9,"17661171111",21,2
17,"9661171111",9,"17661171111",17,2
17,"66111711",1,"17661171111",16,2
17,"1661171111",1,"17661171111",10,1
17,"667887881711",1,"176611711788788",6,1
17,"966178816767",9,"1766178816767",7,1
17,"1661788161116111",1,"17661788161116111",18,2
17,"667117117881",9,"176617881711711",9,1
17,"966178878811",9,"1766178878811",16,2
17,"9661788788711711",9,"17661788788711711",24,2
17,"6667677111",9,"1766171116767",8,1
17,"966171116767",9,"1766171116767",13,1
17,"6667677111",1,"1766171116767",6,1
17,"66611161117111",9,"17661711161116111",3,1
17,"1661711161116111",1,"17661711161116111",15,1
17,"66117111",9,"17661711111",15,1
17,"9661711111",9,"17661711111",12,1
17,"66117111",1,"17661711111",15,1
17,"1661711111",1,"17661711111",5,1
17,"667887887111",1,"176617111788788",4,1
17,"666767711711",9,"176617117116767",11,1
17,"96617117116767",9,"176617117116767",22,2
17,"666767711711",1,"176617117116767",7,1
17,"6661116111711711",9,"1766171171161116111",14,1
17,"966171171161116111",9,"1766171171161116111",30,2
17,"6661116111711711",1,"1766171171161116111",12,1
17,"6611711711",9,"1766171171111",20,2
17,"6611711711",1,"1766171171111",13,1
17,"66788788711711",1,"17661711711788788",8,1
9,"9661676761116111",9,"9661676761116111",37,3
9,"9661676711",9,"9661676711",14,1
9,"96616767711711",9,"96616767711711",41,3
9,"96616716767",9,"96616716767",13,1
9,"966167111",9,"966167111",19,2
9,"9661671711711",9,"9661671711711",44,3
9,"9661611161116767",9,"9661611161116767",13,1
9,"96616111611161116111",9,"96616111611161116111",35,3
9,"96616111611111",9,"96616111611111",23,2
9,"966161116111711711",9,"966161116111711711",42,3
9,"66676761111",9,"9661611116767",6,1
9,"9661611116767",9,"9661611116767",13,1
9,"96616111111",9,"96616111111",20,2
9,"966161111711711",9,"966161111711711",42,3
9,"96611676767",9,"96611676767",13,1
9,"966116761116111",9,"966116761116111",34,3
9,"966116711",9,"966116711",22,2
9,"9661167711711",9,"9661167711711",45,3
9,"66676716111",9,"9661161116767",4,1
9,"9661161116767",9,"9661161116767",12,1
9,"661116111",9,"96611611111",4,1
9,"96611611111",9,"96611611111",18,2
9,"966116111711711",9,"966116111711711",43,3
9,"6667611111",9,"966111676111",10,1
9,"966111676111",9,"966111676111",18,2
9,"966111611167",9,"966111611167",19,2
9,"9661116111788",9,"9661116111788",16,2
9,"9661116111711",9,"9661116111711",38,3
9,"966117116767",9,"966117116767",19,2
9,"66611161111711",9,"9661171161116111",11,1
9,"9661171161116111",9,"9661171161116111",41,3
9,"9661171111",9,"9661171111",29,2
9,"96611711711711",9,"96611711711711",47,4
9,"9661788161116111",9,"9661788161116111",30,2
9,"96617881711711",9,"96617881711711",43,3
9,"966178878811",9,"966178878811",11,1
9,"966171116767",9,"966171116767",12,1
9,"9661711161116111",9,"9661711161116111",38,3
9,"66117111",9,"9661711111",26,2
9,"9661711111",9,"9661711111",26,2
9,"96617111711711",9,"96617111711711",41,3
9,"96617117116767",9,"96617117116767",29,2
9,"966171171161116111",9,"966171171161116111",39,3
9,"9661711711711711",9,"9661711711711711",50,4
9,"1661676761116111",1,"9661676761116111",30,2
9,"16616767711711",1,"96616767711711",38,3
9,"16616716767",1,"96616716767",0,1
9,"6611671",1,"966167111",0,1
9,"166167111",1,"966167111",15,1
9,"66711711671",1,"9661671711711",8,1
9,"1661671711711",1,"9661671711711",40,3
9,"666111611161116111",1,"96616111611161116111",9,1
9,"16616111611161116111",1,"96616111611161116111",31,3
9,"661161116111",1,"96616111611111",15,1
9,"6671171161116111",1,"966161116111711711",21,2
9,"166161116111711711",1,"966161116111711711",40,3
9,"666111611161111",1,"96616111161116111",4,1
9,"661161111",1,"96616111111",11,1
9,"16616111111",1,"96616111111",16,2
9,"6671171161111",1,"966161111711711",19,2
9,"16611676767",1,"96611676767",0,1
9,"166116761116111",1,"966116761116111",29,2
9,"6611167",1,"966116711",2,1
9,"166116711",1,"966116711",16,2
9,"66711711167",1,"9661167711711",9,1
9,"1661167711711",1,"9661167711711",41,3
9,"66676716111",1,"9661161116767",3,1
9,"661116111",1,"96611611111",13,1
9,"16611611111",1,"96611611111",15,1
9,"6671171116111",1,"966116111711711",24,2
9,"166116111711711",1,"966116111711711",40,3
9,"6667611111",1,"966111676111",8,1
9,"166111611167",1,"966111611167",12,1
9,"66611178811",1,"9661116111788",1,1
9,"1661116111788",1,"9661116111788",8,1
9,"1661116111711",1,"9661116111711",34,3
9,"6671171111",1,"966111711711",19,2
9,"667117111788",1,"96611788711711",2,1
9,"6667671711",1,"966117116767",4,1
9,"166117116767",1,"966117116767",7,1
9,"66611161111711",1,"9661171161116111",6,1
9,"1661171161116111",1,"9661171161116111",35,3
9,"66111711",1,"9661171111",17,2
9,"1661171111",1,"9661171111",23,2
9,"667887881711",1,"96611711788788",8,1
9,"667117111711",1,"96611711711711",25,2
9,"16611711711711",1,"96611711711711",42,3
9,"1661788161116111",1,"9661788161116111",21,2
9,"16617881711711",1,"96617881711711",36,3
9,"166178878811",1,"966178878811",10,1
9,"1661788788711711",1,"9661788788711711",28,2
9,"6667677111",1,"966171116767",4,1
9,"66611161117111",1,"9661711161116111",11,1
9,"1661711161116111",1,"9661711161116111",28,2
9,"66117111",1,"9661711111",17,2
9,"1661711111",1,"9661711111",17,2
9,"667117117111",1,"96617111711711",20,2
9,"16617111711711",1,"96617111711711",33,3
9,"666767711711",1,"96617117116767",5,1
9,"6661116111711711",1,"966171171161116111",21,2
9,"166171171161116111",1,"966171171161116111",34,3
9,"166171171111",1,"966171171111",27,2
9,"66711711711711",1,"9661711711711711",23,2
9,"1661711711711711",1,"9661711711711711",48,4
